bus,total,light,medium,heavy
 1-1,580,350,310,230
 1-2,530,350,300,220
 1-3,290,330,300,210
 1-4,390,340,310,220
 1-5,270,300,280,210
 10-1,340,320,290,210
 10-2,490,330,300,220
 10-3,360,310,280,200
 10-4,380,300,280,200
 10-5,210,310,280,210
 101-1,440,420,380,280
 101-2,480,340,300,230
 101-3,490,350,330,240
 101-4,410,340,310,230
 101-7,130,400,370,280
 11-1,480,320,300,240
 11-2,390,310,280,210
 11-3,280,320,290,220
 11-4,280,330,300,230
 12-1,340,350,310,230
 12-2,300,330,310,230
 12-3,230,340,310,230
 2-1,400,300,280,210
 2-2,380,300,280,210
 25-1,420,330,290,220
 25-2,550,340,300,220
 25-3,220,320,300,210
 3-1,380,300,280,200
 3-2,300,300,280,200
 3-3,320,300,280,200
 3-4,370,300,280,200
 4-1,390,350,310,230
 4-2,260,350,310,220
 4-3,400,350,310,230
 4-4,420,350,310,230
 48-1,260,320,290,230
 6-1,420,330,300,230
 6-2,310,320,300,200
 80-1,320,380,330,250
 80-2,420,330,300,200
 80-3,360,330,290,210
 80-4,360,340,290,200
 87-1,410,340,310,230
 87-2,110,350,320,250