date,New Flyer D40LF,New Flyer XD40 Xcelsior,NOVA Bus,,New Flyer D40LF,New Flyer XD40 Xcelsior,NOVA Bus,,New Flyer D40LF,New Flyer XD40 Xcelsior,NOVA Bus,
2019-01,105073,16142,36035,,105073,16142,36035,2.63,276.34199,42.45346,94.77205,
2019-02,96346,10514,35880,,96346,10514,35880,,253.38998,27.65182,94.3644,
2019-03,111371,13227,32574,,111371,13227,32574,,292.90573,34.78701,85.66962,
2019-04,82075,13297,28242,,82075,13297,28242,,215.85725,34.97111,74.27646,
2019-05,103320,17045,32472,,103320,17045,32472,,271.7316,44.82835,85.40136,
2019-06,102921,19161,32769,,102921,19161,32769,,270.68223,50.39343,86.18247,
2019-07,104126,14307,33790,,104126,14307,33790,,273.85138,37.62741,88.8677,
2019-08,89891,17580,33046,,89891,17580,33046,,236.41333,46.2354,86.91098,
2019-09,106304,20691,33676,,106304,20691,33676,,279.57952,54.41733,88.56788,
2019-10,112592,19297,29071,,112592,19297,29071,,296.11696,50.75111,76.45673,
2019-11,97452,22599,32724,,97452,22599,32724,,256.29876,59.43537,86.06412,
2019-12,93606,22540,44029,,93606,22540,44029,,246.18378,59.2802,115.79627,
,,,,,,,,,3169.35251,542.832,1063.33004,4775.51455